,appointments,occupied_beds,capacity_beds,occupancy_rate,on_shift,hour,dow,month,is_weekend,appt_lag_1,occ_lag_1,appt_lag_2,occ_lag_2,appt_lag_3,occ_lag_3,appt_lag_6,occ_lag_6,appt_lag_12,occ_lag_12,appt_lag_24,occ_lag_24,appt_rolling_6,occ_rolling_6,y_inflow_next,y_occ_next,y_surge_next
2018-01-02 00:00:00+00:00,9,17,1000,0.017,0.0,0,1,1,0,0.0,0.008,0.0,0.008,0.0,0.008,0.0,0.008,0.0,0.008,15.0,0.008,1.5,0.0095,0.0,0.017,0
2018-01-02 01:00:00+00:00,0,17,1000,0.017,0.0,1,1,1,0,9.0,0.017,0.0,0.008,0.0,0.008,0.0,0.008,0.0,0.008,0.0,0.008,1.5,0.011000000000000001,0.0,0.017,0
2018-01-02 02:00:00+00:00,0,17,1000,0.017,0.0,2,1,1,0,0.0,0.017,9.0,0.017,0.0,0.008,0.0,0.008,0.0,0.008,0.0,0.008,1.5,0.012500000000000002,0.0,0.017,0
2018-01-02 03:00:00+00:00,0,17,1000,0.017,0.0,3,1,1,0,0.0,0.017,0.0,0.017,9.0,0.017,0.0,0.008,0.0,0.008,0.0,0.008,1.5,0.013999999999999999,0.0,0.017,0
2018-01-02 04:00:00+00:00,0,17,1000,0.017,0.0,4,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.008,0.0,0.008,1.5,0.0155,0.0,0.017,0
2018-01-02 05:00:00+00:00,0,17,1000,0.017,0.0,5,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.008,0.0,0.008,1.5,0.017,0.0,0.017,0
2018-01-02 06:00:00+00:00,0,17,1000,0.017,0.0,6,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,9.0,0.017,0.0,0.008,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 07:00:00+00:00,0,17,1000,0.017,0.0,7,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 08:00:00+00:00,0,17,1000,0.017,0.0,8,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 09:00:00+00:00,0,17,1000,0.017,0.0,9,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 10:00:00+00:00,0,17,1000,0.017,0.0,10,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 11:00:00+00:00,0,17,1000,0.017,0.0,11,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 12:00:00+00:00,0,17,1000,0.017,0.0,12,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,9.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 13:00:00+00:00,0,17,1000,0.017,0.0,13,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 14:00:00+00:00,0,17,1000,0.017,0.0,14,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 15:00:00+00:00,0,17,1000,0.017,0.0,15,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 16:00:00+00:00,0,17,1000,0.017,0.0,16,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 17:00:00+00:00,0,17,1000,0.017,0.0,17,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 18:00:00+00:00,0,17,1000,0.017,0.0,18,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 19:00:00+00:00,0,17,1000,0.017,0.0,19,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
